"","reviewid","label"
"800",21941,"polyvinyl"
"801",21931,"kanine"
"802",21953,"stunvolume"
"803",21987,"carpark"
"804",21996,"m-plant"
"805",21999,"ato"
"806",21998,"roc nation"
"807",21978,"concord"
"808",21961,"ingrid"
"809",21722,"future days"
"810",21952,"warner bros."
"811",21997,"mojo"
"812",21872,"captured tracks"
"813",21954,"anti-"
"814",21986,"cult"
"815",21962,"domino"
"816",21938,"r&s"
"817",21654,"numero group"
"818",21871,"secretly canadian"
"819",21828,"saddle creek"
"820",21959,"ipecac"
"821",21977,"jagjaguwar"
"822",21981,"self-released"
"823",21904,"ne'astra music group"
"824",21873,"matador"
"825",21960,"yep roc"
"826",21890,"relapse"
"827",21913,"self-released"
"828",21932,"epic"
"829",21942,"!k7"
"830",21937,"leaving"
"831",21921,"mom & pop"
"832",21921,"transgressive"
"833",21921,"future classic"
"834",21916,"merge"
"835",21976,"zef"
"836",21915,"creep"
"837",21944,"caldo verde"
"838",21723,"innovative leisure"
"839",21958,"hotflush"
"840",21975,"goner"
"841",21957,"bread winners' association"
"842",21917,"anti-"
"843",21943,"fat possum"
"844",21910,"pop wig"
"845",21956,"new west"
"846",21891,"sub pop"
"847",21718,"sideonedummy"
"848",21718,"royal mountain"
"849",21922,"one little indian"
"850",21786,"hippie dance"
"851",21950,"warp"
"852",21821,"legacy"
"853",21821,"columbia"
"854",21821,"blue note"
"855",21947,"innovative leisure"
"856",21934,"soul jazz"
"857",21675,"tiny engines"
"858",21940,"self-released"
"859",21933,"omnivore"
"860",21949,"fpe"
"861",21948,"wolf parade productions"
"862",21955,"manqu"
"863",21536,"now again"
"864",21936,"tri angle"
"865",21892,"republic"
"866",21874,"city slang"
"867",21584,"superior viaduct"
"868",21880,"topshelf"
"869",21896,"parlophone"
"870",21923,"fade to mind"
"871",21929,"votiv"
"872",21914,"paradise of bachelors"
"873",21939,"columbia"
"874",21926,"rough trade"
"875",21893,"foom"
"876",21868,"partisan"
"877",21920,"dial"
"878",21864,"sacred bones"
"879",21894,"cooking vinyl"
"880",21935,"canvasback / atlantic"
"881",21721,"ecm"
"882",21673,"matador"
"883",21928,"self-released"
"884",21898,"vice"
"885",21875,"rado"
"886",21771,"4ad"
"887",21725,"mom & pop"
"888",21912,"mexican summer"
"889",21865,"wichita"
"890",21802,"hyperdub"
"891",21676,"relapse"
"892",21887,"merge"
"893",21919,"dfa"
"894",21909,NA
"895",21700,"kill rock stars"
"896",21911,"brainfeeder"
