"","reviewid","genre"
"1101",21730,"pop/r&b"
"1102",21684,"metal"
"1103",21727,"rock"
"1104",21647,"pop/r&b"
"1105",21672,"rock"
"1106",21672,"metal"
"1107",21672,"experimental"
"1108",21739,"rock"
"1109",21614,"rock"
"1110",21617,"rap"
"1111",21591,"folk/country"
"1112",21591,"experimental"
"1113",21646,"experimental"
"1114",21646,"electronic"
"1115",21692,"rock"
"1116",21650,"rock"
"1117",21640,"metal"
"1118",21590,"rock"
"1119",21736,"rap"
"1120",21605,"rock"
"1121",21670,"rock"
"1122",21753,"experimental"
"1123",21588,"rock"
"1124",21549,"rap"
"1125",21666,"rock"
"1126",21632,"experimental"
"1127",21606,"electronic"
"1128",21509,"electronic"
"1129",21631,"metal"
"1130",21713,"rap"
"1131",21630,"rock"
"1132",21616,"experimental"
"1133",21731,"rock"
"1134",21668,"electronic"
"1135",21711,"global"
"1136",21711,"electronic"
"1137",21658,"rock"
"1138",21612,"experimental"
"1139",21563,"electronic"
"1140",21667,"pop/r&b"
"1141",21644,"rock"
"1142",21642,"rock"
"1143",21691,"rock"
"1144",21586,"rock"
"1145",21555,"electronic"
"1146",21669,"electronic"
"1147",21546,"rock"
"1148",21655,"rock"
"1149",21665,"experimental"
"1150",21706,"rap"
"1151",21443,"rock"
"1152",21651,"rock"
"1153",21659,"electronic"
"1154",21705,"rap"
"1155",21526,"rock"
"1156",21643,"rap"
"1157",21486,"rock"
"1158",21623,"rock"
"1159",21527,"experimental"
"1160",21603,"electronic"
"1161",21415,"rock"
"1162",21648,"rock"
"1163",21624,"experimental"
"1164",21575,"jazz"
"1165",21682,"electronic"
"1166",21569,"experimental"
"1167",21534,"experimental"
"1168",21613,"rock"
"1169",21561,"folk/country"
